"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"anymor hes",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"anymor hey",0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"anymor im",0,0,1,0,0,0,1,0,2,0,2,1,1,1,0,0,0,1
"anymor just",1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
"anymor know",0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1
"anymor now",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"anymor oh",1,2,0,1,1,0,6,0,0,0,1,0,1,0,0,0,0,0
"anymor well",1,0,0,0,0,1,1,2,0,3,1,0,0,1,0,1,1,0
"anymor yeah",0,1,1,2,2,0,3,0,0,0,0,1,1,0,0,0,0,1
"anyon",5,9,9,7,5,9,6,4,7,7,4,4,15,7,6,19,10,22
"anyon can",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4
"anyon els",1,1,0,1,2,1,0,1,1,1,0,0,3,0,0,1,1,0
"anyon want",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"anyth",28,35,44,35,25,31,29,21,26,28,32,21,37,29,23,23,14,37
"anyth anyth",0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"anyth can",3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"anyth dont",0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1
"anyth els",0,3,2,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0
"anyth get",1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"anyth happen",0,0,2,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0
"anyth just",0,4,1,2,0,0,2,0,0,1,1,1,2,0,1,0,0,2
"anyth like",0,2,3,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
"anyth oh",0,2,1,0,1,1,1,1,2,0,0,0,0,1,1,1,0,0
"anyth right",0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
"anyth say",1,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0
"anyth want",1,0,2,1,1,0,0,2,0,0,2,0,0,1,1,1,0,0
"anyth well",0,1,0,1,1,1,0,1,0,0,1,2,2,0,1,0,0,0
"anyth wrong",0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
