"Character" "Season" "Episode"
" Pablo, rainforest guide
" "03" "01"
" People's Army
" "03" "01"
" Save the Rain Forest reporters
" "03" "01"
" American loggers
" "03" "01"
" The Yanogapa (with Giant Yanogapa)
" "03" "01"
" Sharon Marsh 
" "03" "01"
" Sheila Broflovski
" "03" "01"
" Tony Danza (cameo)
" "03" "01"
" Stan Marsh
" "03" "02"
" Kyle Broflovski
" "03" "02"
" Kenny McCormick
" "03" "02"
" Eric Cartman
" "03" "02"
" General Store Manager
" "03" "02"
" Townspeople
" "03" "02"
" Officer Barbrady
" "03" "02"
" Mr. Mackey
" "03" "02"
" Priest Maxi
" "03" "02"
" Randy Marsh
" "03" "02"
" Gerald Broflovski
" "03" "02"
" Sheila Broflovski
" "03" "02"
" Liane Cartman
" "03" "02"
" Mayor McDaniels
" "03" "02"
" Alphonse Mephesto
" "03" "02"
" Chef
" "03" "02"
" Mr. Garrison
" "03" "02"
" News Anchor
" "03" "02"
" Prostitutes
" "03" "02"
" Bob Dole
" "03" "02"
" Whoopi Goldberg
" "03" "02"
" Nick Nolte
" "03" "02"
"Herald R. Pinkerton, for his further development of the grand unified theory of physics." "03" "02"
"Randy Marsh, for his formulated break-wind theory of spontaneous combustion." "03" "02"
